,Var(METAL),Var(ENERGY),Var(AGRICULTURAL),"Cov(METAL,ENERGY)","Cov(METAL,AGRICULTURAL)","Cov(ENERGY,AGRICULTURAL)"
2/11/1991,0.000126,0.002755,5.57E-05,0.000285,2.21E-05,-2.07E-06
2/12/1991,0.000129,0.002556,5.47E-05,0.000267,2.19E-05,-2.11E-06
2/13/1991,0.000122,0.002363,5.42E-05,0.000254,2.15E-05,-2.25E-06
2/14/1991,0.000118,0.002195,5.68E-05,0.000240,2.24E-05,-4.42E-06
2/15/1991,0.000112,0.002061,5.79E-05,0.000227,2.26E-05,-7.18E-06
2/20/1991,0.000110,0.002083,5.67E-05,0.000226,2.21E-05,-6.02E-06
2/21/1991,0.000104,0.001928,5.59E-05,0.000215,2.16E-05,-6.03E-06
2/22/1991,0.000103,0.001958,6.00E-05,0.000216,2.34E-05,5.37E-06
2/25/1991,0.000106,0.001822,6.11E-05,0.000211,2.51E-05,7.52E-06
2/26/1991,0.000104,0.001687,5.98E-05,0.000203,2.43E-05,7.52E-06
2/27/1991,0.000101,0.001574,6.00E-05,0.000195,2.44E-05,9.32E-06
2/28/1991,0.000101,0.001488,5.93E-05,0.000192,2.26E-05,7.68E-06
3/01/1991,0.000131,0.001412,6.49E-05,0.000198,3.01E-05,1.34E-05
3/04/1991,0.000124,0.001307,6.35E-05,0.000188,2.89E-05,1.35E-05
3/05/1991,0.000117,0.001254,6.21E-05,0.000179,2.79E-05,1.38E-05
3/06/1991,0.000117,0.001160,6.47E-05,0.000171,2.43E-05,1.38E-05
3/07/1991,0.000111,0.001093,6.47E-05,0.000161,2.42E-05,1.16E-05
3/08/1991,0.000108,0.001018,6.32E-05,0.000152,2.37E-05,1.13E-05
3/11/1991,0.000132,0.000945,6.17E-05,0.000143,2.24E-05,1.13E-05
3/12/1991,0.000132,0.000887,6.47E-05,0.000140,2.47E-05,1.38E-05
3/13/1991,0.000131,0.000869,6.45E-05,0.000127,2.23E-05,1.66E-05
3/14/1991,0.000131,0.000958,6.30E-05,0.000135,2.19E-05,1.72E-05
3/15/1991,0.000129,0.000911,6.15E-05,0.000133,2.12E-05,1.68E-05
3/18/1991,0.000122,0.000981,6.24E-05,0.000124,1.99E-05,2.30E-05
3/19/1991,0.000134,0.000914,6.17E-05,0.000122,2.13E-05,2.33E-05
3/20/1991,0.000129,0.000910,6.08E-05,0.000122,2.01E-05,2.08E-05
3/21/1991,0.000121,0.000848,6.19E-05,0.000118,1.91E-05,1.92E-05
3/22/1991,0.000115,0.000797,6.12E-05,0.000114,1.90E-05,1.99E-05
3/25/1991,0.000111,0.000749,6.38E-05,0.000111,2.00E-05,2.18E-05
3/26/1991,0.000113,0.000707,6.39E-05,0.000110,2.14E-05,2.30E-05
3/27/1991,0.000108,0.000658,6.26E-05,0.000105,2.04E-05,2.28E-05
3/28/1991,0.000103,0.000622,6.27E-05,0.000101,1.95E-05,2.09E-05
4/03/1991,0.000109,0.000579,6.15E-05,9.78E-05,1.81E-05,2.03E-05
4/04/1991,0.000110,0.000539,6.37E-05,9.29E-05,1.49E-05,2.04E-05
4/05/1991,0.000104,0.000519,6.27E-05,8.91E-05,1.46E-05,1.89E-05
4/08/1991,0.000118,0.000484,6.24E-05,8.70E-05,1.18E-05,1.82E-05
4/09/1991,0.000113,0.000455,6.12E-05,8.43E-05,1.19E-05,1.83E-05
4/10/1991,0.000109,0.000424,6.01E-05,8.04E-05,1.13E-05,1.81E-05
4/11/1991,0.000104,0.000421,5.90E-05,7.79E-05,1.10E-05,1.70E-05
4/12/1991,9.96E-05,0.000392,5.77E-05,7.47E-05,1.10E-05,1.67E-05
4/15/1991,9.47E-05,0.000386,5.70E-05,7.26E-05,1.11E-05,1.75E-05
4/16/1991,9.29E-05,0.000368,5.68E-05,6.79E-05,1.18E-05,1.63E-05
4/17/1991,8.87E-05,0.000366,5.57E-05,6.40E-05,1.17E-05,1.58E-05
4/18/1991,9.51E-05,0.000343,5.69E-05,6.23E-05,8.98E-06,1.53E-05
4/19/1991,0.000101,0.000347,5.60E-05,6.64E-05,9.70E-06,1.59E-05
4/22/1991,9.82E-05,0.000325,5.52E-05,6.43E-05,1.01E-05,1.58E-05
4/23/1991,9.60E-05,0.000314,5.41E-05,6.38E-05,9.99E-06,1.55E-05
4/24/1991,9.11E-05,0.000296,5.41E-05,6.13E-05,9.95E-06,1.48E-05
4/25/1991,8.70E-05,0.000278,5.75E-05,5.91E-05,9.16E-06,1.43E-05
4/26/1991,8.65E-05,0.000263,5.66E-05,5.57E-05,9.56E-06,1.38E-05
4/29/1991,8.31E-05,0.000248,5.63E-05,5.36E-05,9.13E-06,1.37E-05
4/30/1991,8.04E-05,0.000233,5.65E-05,5.15E-05,9.77E-06,1.34E-05
5/01/1991,7.95E-05,0.000224,5.60E-05,4.83E-05,1.04E-05,1.27E-05
5/02/1991,7.64E-05,0.000215,5.49E-05,4.61E-05,1.03E-05,1.25E-05
5/03/1991,7.54E-05,0.000205,5.39E-05,4.54E-05,1.04E-05,1.25E-05
5/08/1991,9.13E-05,0.000195,5.30E-05,4.22E-05,9.73E-06,1.24E-05
5/09/1991,8.68E-05,0.000185,5.46E-05,4.07E-05,9.77E-06,1.19E-05
5/10/1991,8.28E-05,0.000176,5.61E-05,3.96E-05,9.28E-06,1.13E-05
5/13/1991,7.95E-05,0.000195,5.62E-05,3.97E-05,9.65E-06,1.32E-05
5/14/1991,8.02E-05,0.000194,5.51E-05,4.10E-05,9.50E-06,1.30E-05
5/15/1991,7.66E-05,0.000188,5.59E-05,3.96E-05,9.55E-06,1.19E-05
5/16/1991,7.60E-05,0.000179,5.56E-05,3.90E-05,1.03E-05,1.21E-05
5/17/1991,7.84E-05,0.000171,5.46E-05,3.86E-05,1.02E-05,1.20E-05
5/20/1991,7.56E-05,0.000173,5.38E-05,3.63E-05,9.96E-06,1.24E-05
5/21/1991,7.35E-05,0.000164,5.30E-05,3.52E-05,1.01E-05,1.23E-05
5/22/1991,7.15E-05,0.000158,5.22E-05,3.36E-05,9.78E-06,1.23E-05
5/23/1991,7.03E-05,0.000159,5.16E-05,3.41E-05,9.44E-06,1.17E-05
5/24/1991,6.75E-05,0.000152,5.08E-05,3.30E-05,9.43E-06,1.16E-05
5/28/1991,6.49E-05,0.000148,5.01E-05,3.21E-05,9.41E-06,1.16E-05
5/29/1991,7.06E-05,0.000141,5.05E-05,3.18E-05,7.83E-06,1.13E-05
5/30/1991,7.48E-05,0.000137,5.07E-05,3.24E-05,9.22E-06,1.17E-05
5/31/1991,7.17E-05,0.000132,5.13E-05,3.13E-05,8.97E-06,1.20E-05
6/03/1991,7.05E-05,0.000129,5.10E-05,3.13E-05,9.44E-06,1.23E-05
6/04/1991,6.80E-05,0.000124,5.02E-05,3.04E-05,9.42E-06,1.22E-05
6/05/1991,6.60E-05,0.000121,4.95E-05,2.91E-05,9.42E-06,1.20E-05
6/06/1991,6.38E-05,0.000147,4.89E-05,2.70E-05,9.45E-06,1.15E-05
6/07/1991,7.68E-05,0.000148,4.93E-05,2.20E-05,7.33E-06,1.24E-05
6/10/1991,7.36E-05,0.000143,4.89E-05,2.14E-05,7.25E-06,1.25E-05
6/11/1991,7.34E-05,0.000153,4.99E-05,1.83E-05,6.18E-06,1.42E-05
6/12/1991,7.05E-05,0.000145,5.17E-05,1.80E-05,6.70E-06,1.41E-05
6/13/1991,6.99E-05,0.000140,5.29E-05,1.82E-05,7.89E-06,1.43E-05
6/14/1991,6.74E-05,0.000134,5.20E-05,1.80E-05,7.87E-06,1.41E-05
6/17/1991,6.98E-05,0.000128,5.20E-05,1.73E-05,8.99E-06,1.37E-05
6/18/1991,6.71E-05,0.000124,5.12E-05,1.70E-05,8.96E-06,1.36E-05
6/19/1991,6.48E-05,0.000119,5.05E-05,1.67E-05,9.01E-06,1.33E-05
6/20/1991,6.27E-05,0.000124,5.03E-05,1.58E-05,8.76E-06,1.40E-05
6/21/1991,6.31E-05,0.000122,5.30E-05,1.45E-05,1.03E-05,1.27E-05
6/24/1991,6.19E-05,0.000125,5.26E-05,1.33E-05,1.06E-05,1.18E-05
6/25/1991,6.28E-05,0.000188,6.97E-05,1.90E-05,1.44E-05,2.45E-05
6/26/1991,6.09E-05,0.000179,6.78E-05,1.88E-05,1.41E-05,2.40E-05
6/27/1991,5.95E-05,0.000173,6.71E-05,1.91E-05,1.34E-05,2.28E-05
6/28/1991,5.81E-05,0.000197,6.95E-05,1.70E-05,1.41E-05,1.81E-05
7/01/1991,5.97E-05,0.000195,0.000102,1.89E-05,8.09E-06,1.16E-05
7/02/1991,5.83E-05,0.000184,9.96E-05,1.86E-05,8.65E-06,1.14E-05
7/03/1991,5.64E-05,0.000176,9.73E-05,1.84E-05,8.60E-06,1.08E-05
7/09/1991,5.46E-05,0.000167,9.38E-05,1.81E-05,8.60E-06,1.07E-05
7/10/1991,5.64E-05,0.000160,9.28E-05,1.87E-05,1.00E-05,1.13E-05
7/11/1991,5.74E-05,0.000153,9.30E-05,1.86E-05,8.34E-06,1.10E-05
7/12/1991,6.32E-05,0.000149,9.00E-05,2.02E-05,7.73E-06,1.07E-05
7/15/1991,6.15E-05,0.000161,9.15E-05,2.12E-05,8.65E-06,1.40E-05
7/16/1991,5.96E-05,0.000156,8.83E-05,2.05E-05,8.62E-06,1.39E-05
7/17/1991,5.76E-05,0.000166,8.82E-05,1.97E-05,8.40E-06,1.63E-05
7/18/1991,5.71E-05,0.000194,8.89E-05,2.21E-05,9.56E-06,2.02E-05
7/19/1991,5.55E-05,0.000185,9.07E-05,2.19E-05,1.01E-05,2.08E-05
7/22/1991,5.42E-05,0.000179,8.76E-05,2.19E-05,1.01E-05,2.05E-05
7/23/1991,5.49E-05,0.000193,8.57E-05,2.43E-05,9.18E-06,1.83E-05
7/24/1991,5.45E-05,0.000215,9.01E-05,2.63E-05,7.57E-06,1.24E-05
7/25/1991,8.86E-05,0.000212,8.94E-05,1.87E-05,1.24E-05,1.06E-05
7/26/1991,8.51E-05,0.000201,9.82E-05,1.88E-05,1.05E-05,9.17E-06
7/29/1991,8.11E-05,0.000191,0.000111,1.85E-05,1.06E-05,8.83E-06
7/30/1991,7.87E-05,0.000184,0.000111,1.90E-05,9.31E-06,7.51E-06
7/31/1991,8.50E-05,0.000175,0.000107,1.77E-05,1.08E-05,7.23E-06
8/01/1991,8.30E-05,0.000178,0.000104,1.94E-05,1.14E-05,8.47E-06
8/02/1991,8.01E-05,0.000182,0.000110,2.04E-05,9.75E-06,4.46E-06
8/05/1991,0.000103,0.000173,0.000108,1.84E-05,5.59E-06,5.01E-06
8/06/1991,9.80E-05,0.000167,0.000111,1.84E-05,5.22E-06,3.44E-06
8/07/1991,9.53E-05,0.000159,0.000109,1.80E-05,4.31E-06,3.69E-06
8/08/1991,9.08E-05,0.000151,0.000110,1.78E-05,3.75E-06,3.50E-06
8/09/1991,9.65E-05,0.000147,0.000108,1.56E-05,6.55E-06,2.77E-06
8/12/1991,9.38E-05,0.000140,0.000104,1.53E-05,6.35E-06,2.99E-06
8/13/1991,8.90E-05,0.000134,0.000101,1.52E-05,6.51E-06,3.03E-06
8/14/1991,8.65E-05,0.000130,0.000102,1.57E-05,8.13E-06,4.14E-06
8/15/1991,8.46E-05,0.000132,9.96E-05,1.72E-05,9.02E-06,5.35E-06
8/16/1991,9.52E-05,0.000128,9.64E-05,1.54E-05,7.68E-06,5.69E-06
8/19/1991,9.53E-05,0.000123,9.42E-05,1.48E-05,6.41E-06,6.01E-06
8/20/1991,9.25E-05,0.000221,0.000102,2.03E-05,4.04E-06,-6.42E-06
8/21/1991,9.06E-05,0.000209,9.85E-05,2.01E-05,4.34E-06,-5.97E-06
8/22/1991,8.61E-05,0.000235,0.000111,1.96E-05,4.69E-06,-1.43E-05
8/23/1991,8.55E-05,0.000285,0.000112,1.33E-05,2.46E-06,-6.51E-06
8/28/1991,8.15E-05,0.000320,0.000109,1.27E-05,2.64E-06,-3.40E-06
8/29/1991,8.39E-05,0.000301,0.000105,1.15E-05,2.37E-06,-2.86E-06
8/30/1991,8.69E-05,0.000285,0.000102,9.92E-06,3.99E-06,-3.09E-06
9/04/1991,8.38E-05,0.000272,0.000102,9.10E-06,3.04E-06,-1.04E-06
9/05/1991,8.00E-05,0.000262,0.000103,8.95E-06,3.67E-06,-2.64E-06
9/06/1991,7.91E-05,0.000247,9.93E-05,9.00E-06,3.39E-06,-2.26E-06
9/09/1991,9.66E-05,0.000232,9.57E-05,9.98E-06,3.87E-06,-1.93E-06
9/10/1991,9.23E-05,0.000221,9.29E-05,9.67E-06,4.42E-06,-2.04E-06
9/11/1991,8.82E-05,0.000221,9.05E-05,8.80E-06,4.99E-06,-2.94E-06
9/12/1991,8.87E-05,0.000210,8.77E-05,9.91E-06,4.54E-06,-2.81E-06
9/13/1991,8.44E-05,0.000204,8.57E-05,9.84E-06,4.85E-06,-3.33E-06
9/16/1991,8.05E-05,0.000194,8.40E-05,1.01E-05,4.89E-06,-3.33E-06
9/17/1991,7.68E-05,0.000185,8.39E-05,1.03E-05,5.25E-06,-2.31E-06
9/18/1991,7.51E-05,0.000178,8.14E-05,9.66E-06,5.10E-06,-1.72E-06
9/19/1991,7.55E-05,0.000173,8.01E-05,1.14E-05,6.40E-06,-5.37E-07
9/20/1991,7.22E-05,0.000169,7.98E-05,1.14E-05,6.37E-06,8.97E-07
9/23/1991,7.07E-05,0.000187,7.86E-05,1.39E-05,7.22E-06,3.29E-06
9/24/1991,7.06E-05,0.000268,8.42E-05,2.02E-05,4.79E-06,-6.36E-06
9/25/1991,6.83E-05,0.000252,8.16E-05,1.97E-05,5.11E-06,-5.96E-06
9/26/1991,6.60E-05,0.000237,7.91E-05,1.95E-05,5.20E-06,-5.56E-06
9/27/1991,7.53E-05,0.000225,7.77E-05,1.73E-05,7.27E-06,-5.67E-06
9/30/1991,7.29E-05,0.000215,7.65E-05,1.65E-05,7.82E-06,-5.86E-06
10/01/1991,7.09E-05,0.000203,7.55E-05,1.62E-05,7.24E-06,-5.32E-06
10/02/1991,7.00E-05,0.000195,7.37E-05,1.51E-05,7.77E-06,-5.30E-06
10/03/1991,6.72E-05,0.000185,7.16E-05,1.50E-05,7.82E-06,-4.91E-06
10/04/1991,6.64E-05,0.000183,6.99E-05,1.63E-05,8.24E-06,-3.97E-06
10/07/1991,6.38E-05,0.000173,6.80E-05,1.62E-05,8.27E-06,-3.59E-06
10/08/1991,6.28E-05,0.000172,6.64E-05,1.48E-05,8.53E-06,-3.61E-06
10/09/1991,6.06E-05,0.000165,6.58E-05,1.46E-05,8.65E-06,-3.83E-06
10/10/1991,6.43E-05,0.000167,6.42E-05,1.75E-05,8.23E-06,-3.85E-06
10/11/1991,6.25E-05,0.000164,6.29E-05,1.80E-05,8.03E-06,-3.92E-06
10/14/1991,7.15E-05,0.000157,6.26E-05,1.89E-05,6.21E-06,-3.89E-06
10/15/1991,7.31E-05,0.000165,6.48E-05,1.53E-05,8.48E-06,-6.28E-06
10/16/1991,7.46E-05,0.000167,6.70E-05,1.26E-05,1.07E-05,-8.04E-06
10/17/1991,7.19E-05,0.000165,7.04E-05,1.19E-05,1.14E-05,-9.68E-06
10/18/1991,7.06E-05,0.000162,6.88E-05,1.31E-05,1.09E-05,-9.58E-06
10/21/1991,6.84E-05,0.000158,6.70E-05,1.37E-05,1.07E-05,-9.16E-06
10/22/1991,6.59E-05,0.000151,6.74E-05,1.35E-05,1.03E-05,-8.28E-06
10/23/1991,6.42E-05,0.000203,6.61E-05,1.62E-05,9.87E-06,-9.55E-06
10/24/1991,6.43E-05,0.000207,6.46E-05,1.84E-05,1.02E-05,-8.39E-06
10/25/1991,6.20E-05,0.000278,6.30E-05,1.89E-05,1.01E-05,-7.93E-06
10/28/1991,6.04E-05,0.000265,6.35E-05,1.93E-05,1.06E-05,-6.39E-06
10/29/1991,6.07E-05,0.000251,6.20E-05,1.82E-05,1.07E-05,-6.04E-06
10/30/1991,6.46E-05,0.000238,6.06E-05,1.67E-05,1.05E-05,-5.57E-06
10/31/1991,6.22E-05,0.000225,5.92E-05,1.65E-05,1.04E-05,-5.12E-06
11/01/1991,6.10E-05,0.000215,5.81E-05,1.58E-05,1.02E-05,-4.59E-06
11/04/1991,5.99E-05,0.000225,5.69E-05,1.37E-05,1.01E-05,-4.21E-06
11/05/1991,5.96E-05,0.000213,5.82E-05,1.42E-05,8.96E-06,-4.34E-06
11/15/1991,5.92E-05,0.000205,5.71E-05,1.52E-05,9.17E-06,-3.71E-06
11/18/1991,6.18E-05,0.000218,6.73E-05,1.92E-05,5.39E-06,-9.33E-06
11/19/1991,6.07E-05,0.000231,6.65E-05,2.09E-05,5.01E-06,-1.06E-05
11/20/1991,6.01E-05,0.000268,6.66E-05,1.70E-05,6.04E-06,-1.35E-05
11/21/1991,5.90E-05,0.000264,6.51E-05,1.82E-05,6.41E-06,-1.22E-05
11/22/1991,5.80E-05,0.000251,6.51E-05,1.86E-05,5.86E-06,-1.24E-05
11/25/1991,5.61E-05,0.000262,6.73E-05,1.86E-05,6.11E-06,-8.24E-06
11/26/1991,5.51E-05,0.000246,6.59E-05,1.81E-05,6.48E-06,-7.89E-06
11/27/1991,5.42E-05,0.000249,6.42E-05,1.93E-05,6.51E-06,-7.64E-06
12/02/1991,5.26E-05,0.000252,6.35E-05,1.89E-05,6.60E-06,-5.74E-06
12/03/1991,5.44E-05,0.000247,6.21E-05,2.07E-05,6.94E-06,-5.03E-06
12/04/1991,5.33E-05,0.000255,6.37E-05,2.17E-05,6.39E-06,-7.65E-06
12/05/1991,5.18E-05,0.000240,6.24E-05,2.11E-05,6.55E-06,-7.29E-06
12/06/1991,5.05E-05,0.000255,6.12E-05,2.09E-05,6.68E-06,-5.72E-06
12/09/1991,5.15E-05,0.000263,6.20E-05,1.76E-05,5.58E-06,-2.71E-06
12/10/1991,5.03E-05,0.000325,6.19E-05,1.84E-05,5.56E-06,-5.98E-06
12/11/1991,5.10E-05,0.000304,6.05E-05,1.81E-05,5.87E-06,-5.55E-06
12/12/1991,5.07E-05,0.000294,5.96E-05,1.90E-05,6.32E-06,-4.45E-06
12/13/1991,6.57E-05,0.000296,5.83E-05,1.16E-05,6.78E-06,-4.34E-06
12/16/1991,6.36E-05,0.000278,7.14E-05,1.17E-05,5.58E-06,-4.41E-06
12/17/1991,6.14E-05,0.000267,7.05E-05,1.20E-05,5.57E-06,-5.00E-06
12/18/1991,6.25E-05,0.000271,6.86E-05,1.53E-05,5.78E-06,-4.49E-06
12/19/1991,6.17E-05,0.000267,6.83E-05,1.68E-05,6.69E-06,-2.52E-06
12/20/1991,5.99E-05,0.000275,6.82E-05,1.78E-05,6.39E-06,-4.45E-06
12/30/1991,5.99E-05,0.000638,6.64E-05,2.85E-05,6.39E-06,-5.00E-06
12/31/1991,5.79E-05,0.000593,6.93E-05,2.78E-05,6.56E-06,-4.11E-06
1/02/1992,5.65E-05,0.000552,6.77E-05,2.68E-05,6.48E-06,-3.59E-06
1/03/1992,5.49E-05,0.000520,6.60E-05,2.57E-05,6.53E-06,-3.01E-06
1/06/1992,5.77E-05,0.000492,6.46E-05,2.74E-05,7.22E-06,-2.13E-06
1/07/1992,5.58E-05,0.000461,6.35E-05,2.67E-05,7.27E-06,-2.24E-06
1/08/1992,5.45E-05,0.000438,6.20E-05,2.68E-05,7.31E-06,-1.98E-06
1/09/1992,5.54E-05,0.000487,6.06E-05,2.06E-05,7.28E-06,-1.30E-06
1/10/1992,7.11E-05,0.000462,6.01E-05,1.57E-05,5.36E-06,-1.06E-07
1/13/1992,6.83E-05,0.000430,5.90E-05,1.56E-05,5.42E-06,1.14E-07
1/14/1992,7.02E-05,0.000465,5.84E-05,8.74E-06,6.48E-06,-1.99E-06
1/15/1992,6.80E-05,0.000434,5.75E-05,8.67E-06,6.34E-06,-1.50E-06
1/16/1992,6.74E-05,0.000452,5.68E-05,1.28E-05,6.95E-06,4.53E-07
1/30/1992,8.66E-05,0.000447,5.68E-05,2.20E-05,9.56E-06,2.58E-06
1/31/1992,8.56E-05,0.000417,5.56E-05,2.20E-05,9.46E-06,2.74E-06
2/03/1992,8.46E-05,0.000390,5.81E-05,2.21E-05,7.70E-06,2.38E-06
2/04/1992,8.10E-05,0.000364,5.75E-05,2.17E-05,7.99E-06,2.58E-06
2/05/1992,7.74E-05,0.000353,5.73E-05,2.18E-05,8.21E-06,4.03E-06
2/06/1992,7.42E-05,0.000330,5.73E-05,2.14E-05,8.00E-06,4.04E-06
2/07/1992,7.22E-05,0.000309,5.63E-05,2.10E-05,7.77E-06,4.17E-06
2/27/1992,6.97E-05,0.000307,5.53E-05,1.94E-05,7.79E-06,4.35E-06
2/28/1992,6.86E-05,0.000288,5.42E-05,1.95E-05,7.83E-06,4.47E-06
3/02/1992,6.59E-05,0.000271,5.63E-05,1.92E-05,7.64E-06,4.73E-06
3/03/1992,6.36E-05,0.000268,5.57E-05,1.82E-05,7.85E-06,3.93E-06
3/04/1992,6.18E-05,0.000257,5.47E-05,1.73E-05,7.94E-06,3.94E-06
3/05/1992,5.98E-05,0.000244,5.82E-05,1.73E-05,7.59E-06,2.84E-06
3/17/1992,5.83E-05,0.000232,5.87E-05,1.67E-05,7.11E-06,3.64E-06
3/30/1992,5.77E-05,0.000221,5.87E-05,1.57E-05,6.51E-06,4.48E-06
3/31/1992,5.61E-05,0.000210,6.47E-05,1.54E-05,7.21E-06,3.63E-06
4/01/1992,5.62E-05,0.000208,6.49E-05,1.70E-05,8.23E-06,5.31E-06
4/02/1992,5.48E-05,0.000217,6.64E-05,1.57E-05,8.85E-06,2.51E-06
4/03/1992,5.34E-05,0.000210,6.60E-05,1.60E-05,8.56E-06,1.72E-06
4/06/1992,5.20E-05,0.000202,6.79E-05,1.57E-05,8.27E-06,3.17E-06
4/07/1992,5.07E-05,0.000193,6.63E-05,1.53E-05,8.21E-06,3.52E-06
4/08/1992,5.15E-05,0.000196,7.25E-05,1.73E-05,1.03E-05,7.45E-06
4/09/1992,5.49E-05,0.000205,7.05E-05,1.33E-05,1.04E-05,7.30E-06
4/10/1992,5.42E-05,0.000199,6.92E-05,1.24E-05,1.07E-05,6.69E-06
4/15/1992,5.26E-05,0.000188,6.89E-05,1.24E-05,1.06E-05,6.67E-06
4/16/1992,5.76E-05,0.000198,7.09E-05,8.06E-06,1.30E-05,3.63E-06
4/22/1992,5.64E-05,0.000207,6.98E-05,6.86E-06,1.32E-05,2.28E-06
4/23/1992,5.47E-05,0.000211,7.37E-05,7.22E-06,1.29E-05,-1.00E-06
4/24/1992,5.34E-05,0.000249,8.20E-05,5.92E-06,1.37E-05,-9.07E-06
4/27/1992,5.27E-05,0.000245,8.32E-05,7.42E-06,1.25E-05,-1.08E-05
4/28/1992,5.30E-05,0.000231,8.06E-05,7.50E-06,1.24E-05,-1.03E-05
4/29/1992,5.15E-05,0.000225,7.91E-05,7.95E-06,1.22E-05,-1.07E-05
4/30/1992,5.02E-05,0.000243,7.77E-05,7.67E-06,1.21E-05,-1.21E-05
5/01/1992,5.18E-05,0.000229,7.59E-05,7.56E-06,1.26E-05,-1.17E-05
5/06/1992,5.16E-05,0.000216,7.37E-05,8.07E-06,1.26E-05,-1.10E-05
5/07/1992,5.03E-05,0.000210,7.80E-05,8.49E-06,1.26E-05,-8.25E-06
5/08/1992,5.00E-05,0.000200,8.30E-05,9.29E-06,1.10E-05,-9.20E-06
5/11/1992,4.95E-05,0.000190,8.04E-05,9.66E-06,1.09E-05,-8.68E-06
5/12/1992,4.86E-05,0.000185,7.79E-05,1.02E-05,1.07E-05,-8.35E-06
5/13/1992,4.77E-05,0.000182,7.79E-05,9.85E-06,1.02E-05,-6.36E-06
5/18/1992,4.68E-05,0.000173,8.31E-05,9.87E-06,9.43E-06,-5.30E-06
5/28/1992,4.59E-05,0.000164,8.04E-05,1.00E-05,9.41E-06,-4.91E-06
5/29/1992,4.82E-05,0.000158,8.02E-05,9.23E-06,1.08E-05,-5.21E-06
6/01/1992,5.13E-05,0.000153,7.98E-05,8.19E-06,9.08E-06,-4.00E-06
6/02/1992,5.08E-05,0.000148,7.82E-05,8.92E-06,9.49E-06,-3.14E-06
6/03/1992,5.34E-05,0.000141,7.58E-05,9.05E-06,9.42E-06,-2.80E-06
6/04/1992,5.32E-05,0.000137,7.37E-05,9.85E-06,9.54E-06,-2.33E-06
6/05/1992,5.43E-05,0.000134,7.19E-05,1.11E-05,9.00E-06,-2.37E-06
6/08/1992,5.43E-05,0.000140,7.20E-05,9.48E-06,9.94E-06,-3.83E-06
6/09/1992,5.29E-05,0.000142,7.64E-05,1.02E-05,9.24E-06,-6.19E-06
6/10/1992,5.16E-05,0.000136,7.42E-05,1.04E-05,9.15E-06,-5.81E-06
6/11/1992,5.03E-05,0.000131,7.91E-05,1.06E-05,9.01E-06,-5.79E-06
6/12/1992,5.06E-05,0.000132,7.68E-05,9.41E-06,9.23E-06,-5.70E-06
6/15/1992,4.99E-05,0.000139,7.68E-05,8.46E-06,9.85E-06,-7.26E-06
6/29/1992,4.90E-05,0.000138,7.99E-05,9.18E-06,9.09E-06,-8.69E-06
6/30/1992,6.95E-05,0.000137,7.79E-05,5.25E-06,1.07E-05,-8.72E-06
7/01/1992,6.68E-05,0.000152,7.58E-05,6.34E-06,1.07E-05,-7.41E-06
